,R squared,RMSE
Linear regression,0.8500210073975223,0.09039237288775205
Decision tree regression,0.5279800252057059,0.1603602629830263
Random forest regression,0.7389242670052083,0.11926137828734927
Ridge regression,0.7793706891314176,0.10963473605009925
Lasso regression,0.7283788231034436,0.12164615448353272
